DBN,rr_s,rr_t,rr_p,N_s,N_t,N_p,saf_p_11,com_p_11,eng_p_11,aca_p_11,saf_t_11,com_t_11,eng_t_11,aca_t_11,saf_s_11,com_s_11,eng_s_11,aca_s_11,saf_tot_11,com_tot_11,eng_tot_11,aca_tot_11
07X520,95.0,94,58,343.0,30.0,196.0,7.9,7.3,6.8,7.4,7.1,7.1,7.0,7.6,6.0,5.7,5.7,6.8,7.0,6.7,6.5,7.2
07X527,25.0,30,12,109.0,11.0,50.0,8.5,7.4,7.4,7.8,5.6,5.6,5.8,6.3,6.7,6.2,6.8,7.6,6.9,6.4,6.6,7.2
07X547,95.0,84,61,332.0,21.0,198.0,9.1,8.4,8.4,8.2,7.5,7.0,7.1,7.6,7.7,7.6,7.7,7.7,8.1,7.6,7.7,7.9
07X548,75.0,100,41,313.0,29.0,168.0,8.7,8.1,8.0,8.6,7.2,7.1,7.0,7.3,7.2,6.0,6.8,7.7,7.7,7.1,7.3,7.9
07X551,72.0,78,33,399.0,35.0,172.0,8.2,7.5,7.5,7.8,6.6,5.4,6.2,7.2,6.3,6.2,6.9,7.7,7.0,6.3,6.9,7.6
07X600,77.0,49,15,683.0,34.0,132.0,7.6,7.0,7.2,6.9,6.0,5.5,6.1,6.8,5.7,5.5,5.8,6.6,6.4,6.0,6.3,6.8
07X655,61.0,78,11,468.0,52.0,79.0,7.2,6.9,6.9,7.3,6.1,5.2,6.0,6.4,6.0,5.7,6.2,6.9,6.4,5.9,6.4,6.8
07X670,77.0,100,78,429.0,37.0,457.0,8.5,7.6,7.6,7.3,6.1,5.6,5.8,6.6,6.3,5.5,6.3,7.3,7.0,6.2,6.6,7.1
08X014,,54,40,,25.0,205.0,8.8,8.3,8.1,8.4,7.4,7.2,6.7,6.9,,,,,8.1,7.7,7.4,7.7
08X036,,98,80,,51.0,481.0,8.9,8.3,8.3,8.4,7.6,6.8,7.3,7.9,,,,,8.3,7.6,7.8,8.2
08X048,,97,70,,71.0,451.0,8.4,7.8,7.7,8.1,6.6,6.8,6.9,7.5,,,,,7.5,7.3,7.3,7.8
08X062,,83,73,,52.0,419.0,8.8,8.3,8.0,8.7,7.2,6.7,7.0,7.5,,,,,8.0,7.5,7.5,8.1
08X069,,88,71,,37.0,355.0,9.1,8.3,8.1,8.7,8.0,7.4,7.6,8.3,,,,,8.5,7.8,7.8,8.5
08X071,3.0,13,21,13.0,14.0,279.0,7.8,6.9,7.1,7.5,5.9,6.7,6.4,7.2,7.1,6.6,7.6,7.9,7.1,6.8,7.0,7.5
08X072,,99,61,,66.0,462.0,8.5,7.9,7.9,8.0,7.4,7.0,7.6,8.1,,,,,7.9,7.5,7.7,8.1
08X075,,97,75,,57.0,361.0,8.7,8.3,8.1,8.4,6.9,6.7,6.9,7.4,,,,,7.8,7.5,7.5,7.9
08X093,,56,100,,20.0,354.0,9.1,8.1,8.3,7.7,7.5,6.5,6.5,7.1,,,,,8.3,7.3,7.4,7.4
08X100,,62,36,,36.0,197.0,8.6,8.2,8.0,8.5,6.2,5.5,6.1,7.0,,,,,7.4,6.8,7.0,7.7
08X101,99.0,93,72,448.0,25.0,318.0,8.5,7.8,7.8,8.3,8.4,7.9,7.7,8.9,7.1,6.7,7.3,8.0,8.0,7.5,7.6,8.4
08X107,,95,82,,37.0,334.0,8.3,7.5,7.4,7.6,6.7,6.8,6.5,7.4,,,,,7.5,7.2,7.0,7.5
08X119,,84,61,,56.0,453.0,8.5,7.5,7.5,7.8,8.1,6.8,7.5,7.9,,,,,8.3,7.2,7.5,7.8
08X123,94.0,95,64,478.0,40.0,299.0,8.2,8.0,7.6,8.1,6.1,6.1,6.1,6.8,6.0,6.1,6.7,7.5,6.8,6.7,6.8,7.5
08X125,85.0,98,31,554.0,48.0,185.0,7.3,7.0,7.1,7.2,6.8,6.2,6.8,7.2,5.9,5.9,6.4,7.3,6.7,6.4,6.8,7.2
08X130,,100,97,,40.0,382.0,9.0,8.4,8.2,8.7,8.0,7.0,7.7,7.9,,,,,8.5,7.7,8.0,8.3
08X131,96.0,97,65,813.0,60.0,507.0,7.6,7.1,7.2,7.4,6.5,6.4,6.7,7.4,5.8,5.9,6.3,7.2,6.6,6.5,6.7,7.3
08X138,,95,60,,63.0,439.0,8.7,8.1,7.9,8.5,7.7,8.1,7.9,8.3,,,,,8.2,8.1,7.9,8.4
08X140,,98,78,,45.0,361.0,8.9,8.1,8.1,8.6,7.5,7.2,7.0,7.7,,,,,8.2,7.7,7.5,8.1
08X146,,89,54,,32.0,187.0,8.2,7.9,7.8,7.9,8.3,8.5,8.6,8.9,,,,,8.3,8.2,8.2,8.4
08X152,,58,16,,43.0,114.0,9.1,8.1,7.9,8.5,8.3,7.4,7.3,8.0,,,,,8.7,7.7,7.6,8.2
08X182,,93,49,,62.0,387.0,8.8,7.9,7.6,8.4,7.5,5.9,6.1,7.2,,,,,8.1,6.9,6.9,7.8
08X269,0.0,28,17,,9.0,62.0,8.5,7.6,7.4,7.8,6.4,6.7,6.0,6.9,,,,,7.3,7.0,6.6,7.2
08X282,87.0,95,20,265.0,21.0,59.0,8.1,7.0,6.8,6.9,7.3,6.0,6.1,6.6,6.3,5.4,5.6,6.9,7.2,6.1,6.1,6.8
08X293,90.0,61,49,390.0,19.0,206.0,8.2,7.7,7.8,8.0,7.8,7.6,7.9,8.6,6.9,5.9,6.9,7.4,7.6,7.1,7.5,8.0
08X295,61.0,78,40,277.0,28.0,176.0,7.1,7.0,7.1,7.4,5.8,5.2,5.8,6.7,5.6,5.6,6.0,6.9,6.2,5.9,6.3,7.0
08X301,75.0,81,9,252.0,21.0,27.0,7.6,7.5,7.6,7.8,6.9,7.5,7.4,8.1,5.7,5.1,6.2,7.1,6.6,6.5,7.0,7.7
08X302,94.0,71,70,677.0,45.0,458.0,8.7,8.0,8.2,8.2,7.2,6.8,7.3,7.8,7.3,7.1,8.0,8.5,7.7,7.3,7.8,8.2
08X304,,97,65,,36.0,299.0,8.9,8.6,8.3,8.9,8.7,8.0,8.3,8.7,,,,,8.8,8.3,8.3,8.8
08X305,79.0,94,34,259.0,34.0,109.0,8.3,7.9,7.6,7.8,6.4,6.1,6.5,7.0,6.3,6.0,6.1,7.0,7.0,6.7,6.7,7.3
08X312,83.0,67,32,389.0,20.0,148.0,8.2,7.8,7.6,8.0,7.8,7.1,7.4,8.0,6.4,5.7,6.4,7.3,7.5,6.9,7.1,7.8
08X332,59.0,85,36,174.0,22.0,102.0,8.5,7.8,7.8,7.8,6.9,4.8,6.2,7.0,6.8,6.4,7.0,7.5,7.4,6.3,7.0,7.4
08X333,,76,61,,31.0,221.0,8.6,7.9,7.7,8.1,7.7,6.6,7.2,7.2,,,,,8.1,7.2,7.5,7.7
08X335,,65,46,,11.0,86.0,8.5,7.8,7.7,8.3,7.3,7.5,7.4,8.2,,,,,7.9,7.6,7.5,8.2
08X337,74.0,97,67,189.0,28.0,168.0,8.5,7.6,7.7,8.2,7.4,6.3,6.7,7.6,6.3,6.5,7.0,7.9,7.4,6.8,7.1,7.9
08X366,70.0,94,32,239.0,33.0,105.0,8.1,7.5,7.5,7.8,6.4,5.8,6.5,7.1,6.3,6.3,6.4,7.3,6.9,6.5,6.8,7.4
08X367,75.0,97,49,292.0,32.0,184.0,8.0,7.2,7.4,7.5,5.9,4.7,5.5,5.9,5.7,5.7,6.4,7.0,6.5,5.9,6.4,6.8
08X371,98.0,92,68,330.0,24.0,219.0,8.2,7.6,7.7,8.0,7.2,7.6,7.6,8.3,6.8,6.7,7.3,8.0,7.4,7.3,7.5,8.1
08X375,88.0,91,40,357.0,31.0,153.0,8.2,7.9,7.8,8.0,6.3,5.5,6.2,7.2,5.6,6.0,6.2,7.1,6.7,6.5,6.7,7.4
08X376,70.0,92,20,252.0,24.0,68.0,7.6,6.7,6.7,6.8,5.1,3.5,4.1,5.1,5.6,5.9,6.2,7.0,6.1,5.4,5.7,6.3
08X377,71.0,94,41,110.0,16.0,63.0,8.7,8.5,8.1,8.5,7.7,7.4,8.0,8.7,7.7,7.2,7.7,8.2,8.0,7.7,7.9,8.5
08X405,58.0,73,11,2099.0,174.0,395.0,6.6,6.7,6.8,6.9,6.3,5.9,6.7,7.0,5.5,5.6,6.2,6.8,6.1,6.1,6.6,6.9
08X408,55.0,96,47,96.0,24.0,97.0,8.6,7.9,8.0,8.2,9.2,8.8,9.3,9.5,8.1,7.0,8.1,8.2,8.6,7.9,8.4,8.6
08X424,91.0,95,40,356.0,40.0,140.0,8.5,8.0,8.0,8.4,7.0,7.2,7.5,7.7,6.3,5.8,7.0,7.3,7.3,7.0,7.5,7.8
08X432,99.0,100,81,76.0,5.0,61.0,8.8,8.3,7.6,8.5,9.3,7.8,9.6,9.8,6.9,6.3,6.6,7.1,8.3,7.5,7.9,8.5
08X448,86.0,71,79,177.0,10.0,155.0,7.8,7.4,7.3,7.3,6.4,5.6,6.5,6.7,6.2,6.5,6.7,7.5,6.8,6.5,6.8,7.2
08X452,66.0,67,8,200.0,18.0,23.0,8.3,7.7,7.4,8.1,7.7,6.3,7.2,7.2,7.1,6.2,6.8,7.5,7.6,6.5,7.1,7.5
08X467,98.0,92,63,160.0,11.0,102.0,8.8,8.4,8.3,8.5,7.4,7.3,7.9,8.4,6.3,6.6,6.7,7.4,7.5,7.5,7.6,8.1
08X507,56.0,81,15,93.0,22.0,23.0,8.8,7.9,7.9,8.3,8.5,7.5,8.4,8.5,8.3,6.6,7.7,8.1,8.5,7.3,8.0,8.3
08X519,54.0,59,20,184.0,16.0,64.0,8.1,8.0,7.5,7.9,7.3,6.8,6.5,7.5,5.7,5.7,5.8,6.7,7.0,6.8,6.6,7.4
08X530,85.0,100,83,372.0,30.0,360.0,9.0,8.5,8.4,8.5,7.6,6.5,7.6,7.8,7.0,6.5,7.0,7.5,7.9,7.2,7.7,7.9
08X540,61.0,71,51,170.0,17.0,136.0,7.3,6.8,6.8,7.1,5.6,4.8,4.5,5.5,6.4,5.5,6.0,6.6,6.4,5.7,5.8,6.4
08X560,63.0,90,15,142.0,19.0,34.0,9.3,8.7,8.5,8.9,8.5,8.6,9.1,9.4,8.2,7.3,8.2,8.6,8.7,8.2,8.6,9.0
08X650,61.0,54,23,596.0,40.0,212.0,6.9,6.7,6.7,6.7,5.3,4.2,5.1,5.6,5.8,6.0,6.1,6.8,6.0,5.6,6.0,6.4
09X002,,67,73,,8.0,60.0,8.3,7.6,7.5,7.7,5.8,5.1,5.7,5.9,,,,,7.1,6.4,6.6,6.8
09X004,96.0,91,100,147.0,41.0,360.0,8.6,8.3,8.1,8.3,6.3,5.9,6.3,7.4,5.9,5.8,6.7,7.0,7.0,6.6,7.0,7.6
09X011,,64,79,,35.0,461.0,8.5,8.1,7.9,8.2,5.8,4.7,5.8,6.3,,,,,7.1,6.4,6.9,7.2
09X022,66.0,96,44,407.0,46.0,251.0,8.1,7.7,7.6,7.6,6.4,6.7,7.0,7.7,6.6,5.9,6.8,7.6,7.0,6.8,7.1,7.6
09X028,,54,59,,31.0,344.0,9.2,8.7,8.8,8.7,7.3,6.8,6.9,7.6,,,,,8.3,7.8,7.9,8.2
09X035,,76,83,,35.0,443.0,9.0,8.2,8.0,8.4,7.5,6.5,6.5,7.5,,,,,8.2,7.3,7.3,8.0
09X042,,94,85,,49.0,360.0,8.9,8.7,8.5,8.8,6.2,6.0,6.5,7.2,,,,,7.6,7.3,7.5,8.0
09X053,,86,27,,83.0,272.0,8.0,7.4,7.0,7.8,6.5,6.7,6.9,7.5,,,,,7.2,7.0,6.9,7.7
09X055,,82,34,,46.0,179.0,7.8,7.2,7.1,7.7,6.6,6.9,6.7,7.4,,,,,7.2,7.1,6.9,7.6
09X058,,71,51,,32.0,203.0,7.8,7.5,7.4,7.7,6.5,6.0,6.2,5.9,,,,,7.1,6.7,6.8,6.8
09X063,,98,72,,50.0,317.0,8.6,8.3,8.0,8.6,6.7,6.9,7.1,7.6,,,,,7.7,7.6,7.6,8.1
09X064,,73,56,,55.0,371.0,8.5,7.9,7.6,8.0,6.8,6.7,6.6,7.1,,,,,7.6,7.3,7.1,7.6
09X070,,75,54,,73.0,577.0,8.7,8.0,7.8,8.4,6.9,6.6,6.7,7.2,,,,,7.8,7.3,7.3,7.8
09X073,,100,76,,70.0,545.0,8.6,8.1,8.0,8.3,7.6,7.7,7.8,7.9,,,,,8.1,7.9,7.9,8.1
09X088,,88,55,,23.0,113.0,9.0,8.1,7.8,8.3,7.4,6.6,7.0,7.4,,,,,8.2,7.4,7.4,7.8
09X090,,67,79,,8.0,128.0,8.8,8.1,8.0,8.3,8.1,7.7,7.9,8.2,,,,,8.5,7.9,7.9,8.2
09X109,,94,91,,50.0,576.0,9.2,8.9,8.7,9.0,7.2,7.3,7.2,7.9,,,,,8.2,8.1,7.9,8.5
09X110,,85,63,,34.0,214.0,8.6,8.3,8.3,8.5,7.2,7.6,7.5,8.1,,,,,7.9,7.9,7.9,8.3
09X114,,80,57,,53.0,399.0,8.9,8.3,8.1,8.5,6.7,6.2,7.0,7.3,,,,,7.8,7.2,7.5,7.9
09X117,92.0,97,35,697.0,64.0,248.0,8.0,7.9,7.5,8.0,7.0,7.1,7.4,7.6,6.1,5.7,6.5,7.4,7.0,6.9,7.1,7.7
09X126,82.0,38,30,89.0,23.0,169.0,8.6,8.2,8.1,8.5,6.0,5.5,6.0,6.8,6.3,6.3,7.3,8.0,6.9,6.7,7.1,7.8
09X128,96.0,75,63,315.0,18.0,201.0,8.7,7.9,8.0,8.4,7.4,5.9,6.0,7.2,7.0,6.8,7.4,8.4,7.7,6.9,7.1,8.0
09X132,,68,69,,36.0,307.0,8.4,7.8,7.7,8.0,6.6,5.8,6.3,7.1,,,,,7.5,6.8,7.0,7.6
09X145,97.0,87,71,367.0,34.0,306.0,8.7,8.1,8.0,8.3,8.0,7.5,7.5,8.2,7.6,6.7,7.7,8.1,8.1,7.4,7.7,8.2
09X163,,60,45,,32.0,223.0,8.6,8.2,7.7,8.3,6.6,5.5,5.6,6.1,,,,,7.6,6.8,6.6,7.2
09X166,88.0,95,36,147.0,18.0,58.0,9.2,8.6,8.3,8.8,7.2,7.0,7.1,7.6,7.0,5.9,6.7,7.6,7.8,7.2,7.4,8.0
09X170,,88,95,,21.0,208.0,9.8,9.4,9.5,9.8,9.3,8.8,8.9,9.6,,,,,9.6,9.1,9.2,9.7
09X199,,70,47,,39.0,275.0,8.3,7.7,7.5,8.0,6.8,6.4,7.2,8.0,,,,,7.5,7.1,7.4,8.0
09X204,,97,98,,28.0,325.0,9.3,8.7,8.7,9.0,9.3,8.9,8.8,9.0,,,,,9.3,8.8,8.7,9.0
09X215,99.0,71,90,344.0,22.0,355.0,8.4,7.7,7.5,8.2,8.1,7.9,8.0,8.5,6.9,6.6,6.9,8.1,7.8,7.4,7.5,8.2
09X218,99.0,80,69,269.0,53.0,444.0,8.9,8.0,7.9,8.2,6.9,6.7,6.8,7.7,7.4,6.6,7.3,8.2,7.7,7.1,7.3,8.0
09X219,92.0,78,44,395.0,29.0,176.0,7.4,7.2,7.0,7.4,6.2,6.5,6.9,7.5,5.2,5.2,5.8,7.0,6.3,6.3,6.6,7.3
09X227,71.0,91,40,238.0,30.0,130.0,8.3,8.0,7.8,8.3,7.5,7.5,7.7,8.1,6.5,6.3,7.1,7.6,7.4,7.3,7.5,8.0
09X229,96.0,68,69,220.0,26.0,140.0,8.4,7.7,7.8,7.8,5.9,5.8,6.6,6.7,5.9,6.0,6.7,7.2,6.7,6.5,7.0,7.2
09X230,,86,51,,36.0,189.0,8.5,7.9,7.9,7.9,6.2,6.1,6.5,7.1,,,,,7.4,7.0,7.2,7.5
09X231,89.0,68,51,383.0,21.0,216.0,8.5,7.9,7.9,7.9,6.7,7.1,7.4,7.3,5.8,5.8,6.5,7.2,7.0,6.9,7.3,7.5
09X232,89.0,84,96,371.0,27.0,373.0,8.1,7.9,7.5,8.0,6.8,6.8,7.2,7.5,6.2,6.0,6.5,7.6,7.0,6.9,7.1,7.7
09X236,,90,67,,35.0,236.0,9.4,8.9,8.7,9.1,7.5,7.2,7.1,7.3,,,,,8.4,8.0,7.9,8.2
09X239,28.0,100,21,57.0,17.0,43.0,8.6,8.1,8.0,8.2,6.8,7.0,7.5,7.4,6.4,6.6,6.9,7.9,7.2,7.2,7.4,7.8
09X241,91.0,91,27,527.0,43.0,143.0,8.6,7.7,7.6,8.2,7.5,6.1,6.6,7.5,6.8,6.2,6.9,7.6,7.6,6.7,7.0,7.8
09X250,88.0,100,41,295.0,23.0,129.0,8.1,7.3,7.2,7.2,6.7,5.5,6.0,6.8,7.3,6.2,7.1,7.7,7.4,6.4,6.7,7.3
09X252,81.0,95,20,284.0,20.0,67.0,9.0,8.4,8.2,8.6,6.6,5.7,6.2,6.7,6.6,5.9,6.3,7.2,7.4,6.7,6.9,7.5
09X260,96.0,78,60,402.0,21.0,244.0,8.7,7.9,7.9,8.4,7.7,6.6,7.0,8.0,7.1,6.2,6.9,8.0,7.8,6.9,7.3,8.1
09X263,54.0,57,56,195.0,13.0,193.0,8.4,7.7,7.8,7.9,7.9,7.3,8.4,8.6,7.6,6.9,7.4,7.9,8.0,7.3,7.9,8.2
09X276,82.0,82,14,200.0,18.0,32.0,8.7,8.2,7.9,8.2,6.7,5.0,6.0,6.4,7.1,6.3,7.2,7.8,7.5,6.5,7.0,7.5
09X297,80.0,84,39,321.0,31.0,154.0,8.4,7.9,7.5,8.0,6.8,7.1,7.2,7.6,6.4,5.7,6.4,7.3,7.2,6.9,7.0,7.6
09X303,90.0,100,68,300.0,24.0,216.0,8.5,8.2,8.0,8.4,8.6,8.3,8.5,8.8,7.2,6.8,7.2,7.6,8.1,7.8,7.9,8.3
09X313,90.0,73,22,393.0,24.0,91.0,8.3,7.5,7.2,8.0,5.9,6.3,6.4,6.8,6.3,5.7,6.9,7.7,6.8,6.5,6.8,7.5
09X323,82.0,95,61,403.0,37.0,277.0,8.4,7.8,7.4,8.2,5.6,5.6,5.9,6.7,6.0,5.9,6.5,7.5,6.7,6.4,6.6,7.5
09X324,88.0,88,60,323.0,22.0,207.0,8.5,8.2,8.0,8.1,6.6,5.1,6.1,6.7,6.7,6.7,7.1,8.2,7.3,6.6,7.1,7.7
09X325,91.0,93,21,318.0,41.0,81.0,8.5,8.1,7.7,8.3,5.8,5.5,5.9,6.4,6.4,6.1,6.7,7.5,6.9,6.6,6.8,7.4
09X327,91.0,96,85,329.0,23.0,286.0,8.2,7.7,7.1,8.0,7.5,7.4,7.8,8.2,6.2,5.8,6.1,7.5,7.3,7.0,7.0,7.9
09X328,85.0,80,51,175.0,16.0,100.0,8.0,7.8,7.6,8.1,5.2,4.6,5.5,6.8,5.2,5.9,6.1,7.3,6.1,6.1,6.4,7.4
09X329,87.0,80,40,276.0,20.0,120.0,8.3,7.9,7.7,8.2,6.1,5.4,6.6,6.7,6.0,5.8,6.3,6.9,6.8,6.4,6.9,7.3
09X339,76.0,90,18,598.0,66.0,129.0,8.1,7.7,7.3,8.0,5.6,5.1,5.7,6.6,6.0,5.7,6.4,7.3,6.6,6.2,6.5,7.3
09X365,79.0,97,50,277.0,29.0,169.0,9.2,8.6,8.1,8.6,6.9,5.4,6.1,7.0,7.5,6.5,7.2,7.7,7.9,6.8,7.1,7.8
09X403,75.0,56,15,289.0,15.0,52.0,8.4,8.3,7.8,8.3,6.8,6.4,7.5,8.2,7.0,6.8,7.2,7.6,7.4,7.2,7.5,8.1
09X404,89.0,100,90,343.0,30.0,346.0,8.9,7.6,7.8,7.8,6.7,7.0,7.0,7.4,6.9,6.1,6.3,7.3,7.5,6.9,7.0,7.5
09X412,91.0,93,18,374.0,27.0,70.0,7.8,7.6,7.2,7.4,5.9,5.7,6.0,6.4,6.1,5.7,6.2,7.1,6.6,6.3,6.4,7.0
09X413,96.0,100,30,405.0,26.0,118.0,8.8,8.0,7.7,8.3,8.1,8.1,8.7,8.7,6.0,5.6,5.8,6.9,7.6,7.2,7.4,8.0
09X414,70.0,100,16,281.0,32.0,59.0,8.7,8.2,7.9,8.3,6.7,6.6,6.6,7.3,6.3,5.7,6.1,6.9,7.2,6.9,6.9,7.5
09X443,,90,87,,27.0,281.0,9.0,8.5,8.3,8.7,6.8,5.9,6.0,6.9,,,,,7.9,7.2,7.2,7.8
09X449,,100,90,,18.0,174.0,9.2,8.8,8.8,9.1,8.9,8.7,9.1,9.0,,,,,9.0,8.8,8.9,9.1
09X454,97.0,100,84,240.0,22.0,202.0,8.9,8.5,8.1,8.7,7.8,7.8,8.2,8.8,6.6,6.3,7.2,7.9,7.7,7.5,7.8,8.5
09X457,,97,100,,32.0,373.0,9.0,8.3,8.2,8.6,8.3,7.1,7.6,8.2,,,,,8.7,7.7,7.9,8.4
09X505,84.0,91,61,588.0,42.0,399.0,8.3,7.7,7.4,8.0,7.6,6.9,7.2,7.5,6.5,6.2,6.6,7.5,7.5,6.9,7.1,7.7
09X517,95.0,78,61,564.0,32.0,336.0,8.4,8.0,8.1,8.2,6.1,5.5,6.2,6.6,6.5,6.2,6.5,7.6,7.0,6.6,6.9,7.5
09X525,81.0,76,10,507.0,31.0,59.0,8.3,7.8,7.6,7.9,7.0,6.6,7.2,7.6,6.1,5.8,6.3,7.3,7.1,6.7,7.0,7.6
09X543,87.0,88,30,192.0,15.0,62.0,8.6,7.9,7.9,8.1,6.8,6.1,7.0,7.3,6.6,6.0,6.8,7.4,7.3,6.7,7.2,7.6
10X003,100.0,55,74,180.0,24.0,234.0,8.7,7.8,7.7,8.0,6.4,4.6,4.4,5.4,6.8,6.3,7.0,7.7,7.3,6.2,6.4,7.0
10X007,,100,93,,46.0,439.0,9.2,8.3,8.1,8.6,8.6,7.7,7.9,8.5,,,,,8.9,8.0,8.0,8.6
10X008,,94,37,,87.0,365.0,8.6,7.6,7.6,7.8,6.7,6.7,6.7,7.3,,,,,7.7,7.2,7.1,7.5
10X009,,100,76,,50.0,437.0,8.9,8.3,8.1,8.6,7.6,6.6,7.2,7.6,,,,,8.2,7.4,7.7,8.1
10X015,99.0,95,70,195.0,36.0,337.0,9.1,8.3,8.1,8.5,7.8,7.5,7.5,8.4,7.8,6.6,8.0,8.5,8.2,7.5,7.9,8.5
10X020,92.0,75,43,343.0,57.0,391.0,8.3,7.5,7.5,8.0,6.9,7.0,6.9,7.9,6.2,6.2,7.0,7.7,7.1,6.9,7.1,7.9
10X023,,100,59,,56.0,237.0,9.3,8.5,8.3,8.8,7.1,6.5,7.2,7.8,,,,,8.2,7.5,7.7,8.3
10X024,,80,48,,48.0,349.0,8.5,7.7,7.9,8.1,7.3,5.5,6.4,7.0,,,,,7.9,6.6,7.1,7.5
10X032,,100,66,,61.0,416.0,9.0,8.1,8.0,8.3,7.9,7.7,8.4,8.8,,,,,8.4,7.9,8.2,8.6
10X033,,37,100,,26.0,910.0,9.5,8.7,9.0,8.9,7.2,6.4,7.1,7.6,,,,,8.4,7.6,8.0,8.3
10X037,94.0,98,59,170.0,43.0,292.0,8.8,8.2,8.2,8.6,6.3,6.1,6.2,6.9,5.7,5.4,6.2,6.8,6.9,6.6,6.9,7.4
10X045,95.0,51,27,945.0,44.0,256.0,8.0,7.4,7.2,7.9,7.1,5.9,6.9,7.3,6.2,5.8,6.3,7.5,7.1,6.3,6.8,7.6
10X046,,94,67,,91.0,650.0,8.6,8.1,7.8,8.4,6.0,5.9,6.2,6.8,,,,,7.3,7.0,7.0,7.6
10X051,,76,82,,16.0,188.0,9.3,8.6,8.6,9.0,7.9,6.6,7.4,8.2,,,,,8.6,7.6,8.0,8.6
10X054,,68,52,,25.0,197.0,8.6,7.9,7.9,8.1,5.8,4.8,5.2,6.3,,,,,7.2,6.3,6.5,7.2
10X056,,90,89,,38.0,458.0,8.9,8.3,8.1,8.5,8.1,8.5,9.3,9.6,,,,,8.5,8.4,8.7,9.0
10X059,,81,100,,44.0,489.0,8.9,7.3,7.9,7.6,7.5,6.8,7.2,7.8,,,,,8.2,7.1,7.5,7.7
10X079,,33,60,,5.0,77.0,8.7,8.2,8.0,8.1,6.9,7.8,8.3,8.7,,,,,7.8,8.0,8.1,8.4
10X080,90.0,82,25,579.0,40.0,151.0,7.3,7.2,6.8,7.3,5.8,5.7,6.0,6.8,5.6,5.9,6.2,7.2,6.2,6.3,6.3,7.1
10X081,,100,92,,43.0,521.0,8.6,7.9,7.6,8.1,8.1,7.7,8.1,8.4,,,,,8.4,7.8,7.9,8.3
10X085,,65,37,,67.0,319.0,8.5,8.1,8.0,8.2,5.8,6.0,6.4,7.1,,,,,7.1,7.0,7.2,7.7
10X086,98.0,99,38,237.0,120.0,524.0,9.0,8.5,8.1,8.8,9.4,9.0,9.4,9.6,8.6,8.0,9.2,9.4,9.0,8.5,8.9,9.3
10X091,,41,29,,25.0,165.0,8.7,8.1,7.8,8.4,6.3,4.7,5.4,6.7,,,,,7.5,6.4,6.6,7.5
10X094,,96,36,,67.0,297.0,8.6,7.8,7.7,7.9,7.0,6.1,6.6,7.2,,,,,7.8,7.0,7.1,7.6
10X095,93.0,52,82,426.0,49.0,731.0,8.7,8.2,8.1,8.3,5.0,4.5,4.4,5.9,5.8,5.7,6.3,7.2,6.5,6.1,6.3,7.2
10X118,93.0,91,60,1053.0,72.0,640.0,8.6,7.7,7.7,8.3,6.8,6.0,6.5,6.9,6.6,5.9,6.7,7.7,7.3,6.5,7.0,7.6
10X141,89.0,85,27,1165.0,76.0,307.0,7.1,6.8,6.9,6.9,5.9,5.6,5.7,6.3,5.9,5.5,6.2,7.0,6.3,6.0,6.3,6.7
10X159,,100,83,,18.0,146.0,9.3,8.5,8.4,8.7,7.7,6.8,7.3,7.6,,,,,8.5,7.7,7.9,8.2
10X205,,100,100,,80.0,816.0,9.0,8.3,8.1,8.6,7.8,7.5,7.8,8.2,,,,,8.4,7.9,8.0,8.4
10X206,90.0,81,100,286.0,26.0,361.0,9.0,8.4,8.1,8.5,7.1,7.3,7.0,8.1,6.1,6.0,6.5,7.7,7.4,7.2,7.2,8.1
10X207,,97,82,,29.0,300.0,9.0,8.4,8.1,8.5,7.9,7.3,7.6,8.2,,,,,8.5,7.8,7.9,8.3
10X209,,96,97,,22.0,220.0,9.5,8.9,8.7,9.3,9.7,9.0,9.5,9.5,,,,,9.6,9.0,9.1,9.4
10X213,81.0,87,39,332.0,27.0,157.0,8.4,7.6,7.5,7.7,6.3,6.3,6.6,7.0,6.5,5.9,6.8,7.5,7.1,6.6,7.0,7.4
10X225,88.0,89,21,450.0,32.0,98.0,8.6,7.8,7.6,8.2,6.1,5.0,5.7,6.7,7.7,6.9,7.5,8.0,7.5,6.6,6.9,7.6
10X226,,65,61,,22.0,211.0,8.7,7.9,7.7,7.9,7.2,6.8,7.1,7.7,,,,,8.0,7.4,7.4,7.8
10X228,95.0,73,51,223.0,16.0,117.0,9.5,8.9,8.6,8.9,8.3,6.5,7.4,7.8,7.7,7.1,7.7,8.3,8.5,7.5,7.9,8.3
10X237,62.0,59,47,287.0,17.0,212.0,8.1,7.6,7.4,7.8,6.0,5.4,6.1,6.4,5.9,5.9,5.9,6.9,6.7,6.3,6.5,7.0
10X243,83.0,100,41,490.0,46.0,223.0,8.0,7.4,7.4,7.7,7.0,6.3,7.4,7.7,6.6,6.0,7.0,7.6,7.2,6.6,7.3,7.7
10X244,69.0,36,32,450.0,20.0,197.0,9.0,8.4,8.4,8.9,7.9,8.1,8.7,8.9,7.2,6.4,7.5,8.0,8.0,7.6,8.2,8.6
10X246,,74,53,,46.0,288.0,9.1,8.4,8.3,8.7,7.4,6.9,7.0,7.7,,,,,8.2,7.7,7.7,8.2
